"Model","hauljoin","lon","lat","Folds","abund","pred","prob","cvpred","cvprob","error","cverror"
"cloglog",-14593,102651.259724672,787505.639391132,"F",1,10.0647617768646,0.706191261318034,10.4462308618267,0.685065518877586,9.06476177686458,9.44623086182665
"cloglog",-14847,38651.259724672,1059505.63939113,"F",1,6.4290213287756,0.542682148681253,5.99745194285631,0.484871929629544,5.4290213287756,4.99745194285631
"cloglog",-19311,47651.259724672,763505.639391133,"F",0,6.28559946446861,0.534630217836235,7.47243596169928,0.562412354124618,6.28559946446861,7.47243596169928
"cloglog",-17299,1243651.25972467,781505.639391133,"F",0,6.21093911925432,0.530382715689642,7.71933677492647,0.57420036199601,6.21093911925432,7.71933677492647
"cloglog",-16731,40651.259724672,881505.639391132,"F",0,8.17939459808377,0.630419770932491,12.0287314011867,0.735634034425407,8.17939459808377,12.0287314011867
"cloglog",-17270,1048651.25972467,973505.639391132,"F",0,3.74559590132141,0.366071093104668,4.02297042405439,0.359146873536876,3.74559590132141,4.02297042405439
"cloglog",-19118,-120348.740275328,838505.639391132,"F",1,6.05911838485896,0.521625535437391,5.68118459811234,0.466533724798008,5.05911838485896,4.68118459811234
"cloglog",-14256,-309348.740275328,519005.639391134,"F",2,6.00282460540923,0.518337111224119,5.89683785716451,0.479107425568898,4.00282460540923,3.89683785716451
"cloglog",-14974,1333151.25972467,739005.639391133,"F",4,11.4666355606501,0.752272671101355,12.6383726745587,0.752872138233318,7.46663556065007,8.63837267455866
"cloglog",-18799,-663348.740275327,540505.639391134,"F",0,10.7463573727464,0.729578307803729,14.76878480238,0.804751202980691,10.7463573727464,14.76878480238
"cloglog",-10407,-348.740275327931,718005.639391133,"F",4,5.71690740578084,0.501282889318202,5.63451347238524,0.463772855336861,1.71690740578084,1.63451347238524
"cloglog",-14102,-616348.740275327,540505.639391134,"F",0,8.97829799408322,0.664659750441325,10.7158478619162,0.694318407742689,8.97829799408322,10.7158478619162
"cloglog",-10734,531651.259724671,1101005.63939113,"F",0,1.7603805815223,0.192836198655042,2.56610357123836,0.247098050588859,1.7603805815223,2.56610357123836
"cloglog",-10777,1282651.25972467,715005.639391133,"F",1,11.7329379162325,0.760172209582578,14.3324813658093,0.795098094504034,10.7329379162325,13.3324813658093
"cloglog",-10525,371651.259724672,1100005.63939113,"F",2,4.92127676763851,0.450580149241417,5.51013678278572,0.456345270294804,2.92127676763851,3.51013678278572
